2021-11-08 11:48:08.342696, xqcow, xmxchi_, WHERE IS HE AIMING LULW WHERE IS HE AIMING LULW WHERE IS HE AIMING LULW WHERE IS HE AIMING LULW WHERE IS HE AIMING LULW WHERE IS HE AIMING LULW WHERE IS HE AIMING LULW WHERE IS HE AIMING LULW, PRIVMSG
2021-11-08 11:48:08.342737, xqcow, partygoy, controller forsenCD controller forsenCD controller forsenCD controller forsenCD controller forsenCD controller forsenCD controller forsenCD, PRIVMSG
2021-11-08 11:48:08.528429, xqcow, laetussqrl, winning, PRIVMSG
2021-11-08 11:48:08.528469, xqcow, tinyjuice0, S OMEGALUL BAD, PRIVMSG
2021-11-08 11:48:08.528485, xqcow, iobesity, HahaPoint, PRIVMSG
2021-11-08 11:48:08.528499, xqcow, mgmbh, AIM ASSIST forsenCD, PRIVMSG
2021-11-08 11:48:08.722765, xqcow, bullet_drifter, check your ping maybe its high., PRIVMSG
2021-11-08 11:48:08.911250, xqcow, masuven, nice spray naroX, PRIVMSG
2021-11-08 11:48:09.274678, xqcow, one106, OMEGALUL ???????, PRIVMSG
2021-11-08 11:48:09.462677, xqcow, boykisses, PepegaAim PepegaAim PepegaAim PepegaAim PepegaAim PepegaAim PepegaAim PepegaAim PepegaAim PepegaAim, PRIVMSG
2021-11-08 11:48:09.462718, xqcow, kiwi_chips, What was that, PRIVMSG
2021-11-08 11:48:09.462734, xqcow, jayyp_ow, BatChess new cod, PRIVMSG
2021-11-08 11:48:09.462748, xqcow, resarfelyk, ?????, PRIVMSG
2021-11-08 11:48:09.462762, xqcow, heyhowyadewin, SO BAD LULW, PRIVMSG
2021-11-08 11:48:09.653468, xqcow, lookezbr, just watch in slow motion and you'll see how many shots ur missing xqcow, PRIVMSG
2021-11-08 11:48:09.653508, xqcow, ch3rnie, OMEGALUL AIM, PRIVMSG
2021-11-08 11:48:09.653523, xqcow, gel0us, change the gun, PRIVMSG
2021-11-08 11:48:09.653672, xqcow, verzod, PepegaAim, PRIVMSG
2021-11-08 11:48:09.653697, xqcow, kelseyrt, pick up someone whos dead gun @xQcOW 󠀀, PRIVMSG
2021-11-08 11:48:09.837381, xqcow, ugoparker, PepegaAim, PRIVMSG
2021-11-08 11:48:09.837423, xqcow, atonement117, Its because you arent on controller, PRIVMSG
2021-11-08 11:48:10.019377, xqcow, l3xtalion, L, PRIVMSG
2021-11-08 11:48:10.019418, xqcow, polarwinds, PepegaAim HOLY, PRIVMSG
2021-11-08 11:48:10.205807, xqcow, tibusta, DONDA AIM OMEGALUL DONDA AIM OMEGALUL DONDA AIM OMEGALUL DONDA AIM OMEGALUL DONDA AIM OMEGALUL DONDA AIM OMEGALUL DONDA AIM OMEGALUL, PRIVMSG
2021-11-08 11:48:10.389884, xqcow, n3tero76, pepega aim, PRIVMSG
2021-11-08 11:48:10.574022, xqcow, zakeesha, Pepega aim, PRIVMSG
2021-11-08 11:48:10.759023, xqcow, masuven, naroXD, PRIVMSG
2021-11-08 11:48:10.759049, xqcow, ifedexe, STOP PLAYING WITH THE WHEEL DUD OMEGALUL, PRIVMSG
2021-11-08 11:48:10.940614, xqcow, noname_johndoe, sooo bad, PRIVMSG
2021-11-08 11:48:11.126823, xqcow, theaminey, Death = generate excuse LULW Death = generate excuse LULW Death = generate excuse LULW Death = generate excuse LULW Death = generate excuse LULW, PRIVMSG
2021-11-08 11:48:11.126863, xqcow, halfskeed, Copege, PRIVMSG
2021-11-08 11:48:11.126879, xqcow, mattyyyyy___, JESUS, PRIVMSG
2021-11-08 11:48:11.310650, xqcow, psysd, PepegaAim, PRIVMSG
2021-11-08 11:48:11.310690, xqcow, heyhowyadewin, BAD AT EVERY GAME LULW BAD AT EVERY GAME LULW BAD AT EVERY GAME LULW BAD AT EVERY GAME LULW BAD AT EVERY GAME LULW, PRIVMSG
2021-11-08 11:48:11.492730, xqcow, slife4, Copege ⚠️ UNREACHED LEVELS Copege ⚠️ UNREACHED LEVELS Copege ⚠️ UNREACHED LEVELS Copege ⚠️ UNREACHED LEVELS Copege ⚠️ UNREACHED LEVELS Copege ⚠️ UNREACHED LEVELS, PRIVMSG
2021-11-08 11:48:11.492776, xqcow, obsavage_x3, steal a gun, PRIVMSG
2021-11-08 11:48:11.677920, xqcow, tinyjuice0, OMEGALUL K DUDE, PRIVMSG
2021-11-08 11:48:11.859428, xqcow, destructionnzzz, bro turn ur sens down wtf??????, PRIVMSG
2021-11-08 11:48:12.168209, xqcow, ado_42, WHO IS HE SHOOTING LULW WHO IS HE SHOOTING LULW WHO IS HE SHOOTING LULW WHO IS HE SHOOTING LULW WHO IS HE SHOOTING LULW, PRIVMSG
2021-11-08 11:48:12.355051, xqcow, abeschooler03, @vibehoonk thats what im saying, PRIVMSG
2021-11-08 11:48:12.542021, xqcow, 1mrbearr, BRO YOUR AIM, PRIVMSG
2021-11-08 11:48:12.542062, xqcow, cz_an, S OMEGALUL BAD, PRIVMSG
2021-11-08 11:48:12.542079, xqcow, boinkyboinks, CRABGAME AIM OMEGALUL  CRABGAME AIM OMEGALUL CRABGAME AIM OMEGALUL', PRIVMSG
2021-11-08 11:48:12.868567, xqcow, 12bomtrady, xqcCheer xqcCheer xqcCheer, PRIVMSG
2021-11-08 11:48:13.051476, xqcow, chevenitsu, !#showemote xqcCheer 󠀀, PRIVMSG
2021-11-08 11:48:13.051506, xqcow, sellio, its MW2019 RESKIN LULW TTK IS LOW SO AIM AINT NEEDED, PRIVMSG
2021-11-08 11:48:13.051516, xqcow, tibusta, DONDA AIM OMEGALUL DONDA AIM OMEGALUL DONDA AIM OMEGALUL DONDA AIM OMEGALUL DONDA AIM OMEGALUL DONDA AIM OMEGALUL DONDA AIM OMEGALUL DONDA AIM OMEGALUL DONDA AIM OMEGALUL, PRIVMSG
2021-11-08 11:48:13.051526, xqcow, lethal_szn, CRITICAL LEVELS Copege ⚠️, PRIVMSG
2021-11-08 11:48:13.051534, xqcow, gel0us, switch your gun, PRIVMSG
2021-11-08 11:48:13.238542, xqcow, captainflaps, JUBILEE AIM LULW JUBILEE AIM LULW JUBILEE AIM LULW JUBILEE AIM LULW JUBILEE AIM LULW JUBILEE AIM LULW JUBILEE AIM LULW JUBILEE AIM LULW JUBILEE AIM LULW JUBILEE AIM LULW JUBILEE AIM LULW JUBILEE AIM LULW JUBILEE AIM LULW, PRIVMSG
2021-11-08 11:48:13.238585, xqcow, zatr3z, TWITCH RIVALS AIM LULW TWITCH RIVALS AIM LULW TWITCH RIVALS AIM LULW TWITCH RIVALS AIM LULW TWITCH RIVALS AIM LULW TWITCH RIVALS AIM LULW TWITCH RIVALS AIM LULW TWITCH RIVALS AIM LULW TWITCH RIVALS AIM LULW TWITCH RIVALS AIM LULW TWITCH RIVALS AIM LULW TWITCH RIVALS AIM LULW TWITCH RIVALS AIM LULW, PRIVMSG
2021-11-08 11:48:13.421860, xqcow, thsent, PepegaAim, PRIVMSG
2021-11-08 11:48:13.421901, xqcow, amme__, sens is way too high, PRIVMSG
2021-11-08 11:48:13.613456, xqcow, cruisecontrolc, YOUR SCORE IS BOTTOM LEFT LUL, PRIVMSG
2021-11-08 11:48:13.613497, xqcow, scattered69, For those who are reading this I just wanted to say I'm proud of you for passing the hardest times in your life alone when everyone thought you were fine, much love, PRIVMSG
