2021-11-08 20:32:15.003261, rainbow6, t0nexx, ggwp faze won, PRIVMSG
2021-11-08 20:32:15.215637, rainbow6, nubstyles, just got here, has interro casted?, PRIVMSG
2021-11-08 20:32:16.640752, rainbow6, luxas_btw, !drops, PRIVMSG
2021-11-08 20:32:16.850097, rainbow6, moobot, @luxas_btw LINK your account here: https://drops-register.ubi.com/ | Check your DROPS PROGRESS here: https://www.twitch.tv/drops/inventory | For more info: https://www.twitch.tv/drops/campaigns | Event Guide: https://www.ubisoft.com/en-gb/esports/rainbow-six/siege/news-updates/1YixsoBSeyKb56TZIDyfB2, PRIVMSG
2021-11-08 20:32:16.850129, rainbow6, dj_arbz, gg, PRIVMSG
2021-11-08 20:32:17.288467, rainbow6, wickerrrrr, wow, PRIVMSG
2021-11-08 20:32:20.449855, rainbow6, bdhsniperscout, GR, PRIVMSG
2021-11-08 20:32:21.567553, rainbow6, saltytoesr6s, !brackey, PRIVMSG
2021-11-08 20:32:22.550152, rainbow6, bob187__, faze is scary ngl, PRIVMSG
2021-11-08 20:32:22.768496, rainbow6, improved_bread_cabinet, @skpfunz yes, PRIVMSG
2021-11-08 20:32:22.963775, rainbow6, abemke, What a bot, PRIVMSG
2021-11-08 20:32:23.754721, rainbow6, codemo, PogChamp, PRIVMSG
2021-11-08 20:32:24.218953, rainbow6, mmmalrightplays, !drops, PRIVMSG
2021-11-08 20:32:24.418394, rainbow6, sunsetcat2, FAZE JUST WARMING UP, PRIVMSG
2021-11-08 20:32:25.036537, rainbow6, petsiex2, throw, PRIVMSG
2021-11-08 20:32:25.645997, rainbow6, jean10us, @skpfunz `Yes, PRIVMSG
2021-11-08 20:32:26.071953, rainbow6, besko365, fazeup fazeup fazeup, PRIVMSG
2021-11-08 20:32:26.270586, rainbow6, floppa_wrld, gg, PRIVMSG
2021-11-08 20:32:26.467433, rainbow6, justnicknl23, Oh really?, PRIVMSG
2021-11-08 20:32:28.307888, rainbow6, saltytoesr6s, !bracket, PRIVMSG
2021-11-08 20:32:29.212557, rainbow6, ilvxv, !drops, PRIVMSG
2021-11-08 20:32:29.780957, rainbow6, muhllly, 15 rounds and a dream, PRIVMSG
2021-11-08 20:32:31.811645, rainbow6, levija, nice throw fisho, PRIVMSG
2021-11-08 20:32:32.057318, rainbow6, reallyblessqd, I hate quick games, PRIVMSG
2021-11-08 20:32:32.911197, rainbow6, aserityng, @nubstyles yes B stream, PRIVMSG
2021-11-08 20:32:33.815252, rainbow6, rowniiii, !leaderboard, PRIVMSG
2021-11-08 20:32:34.013767, rainbow6, lucubista, LATAM TO STRONG, PRIVMSG
2021-11-08 20:32:34.234436, rainbow6, samsegundo87_, Nice, PRIVMSG
2021-11-08 20:32:35.167461, rainbow6, collosalboy, Lets Go FAZE, PRIVMSG
2021-11-08 20:32:37.006008, rainbow6, antiimex, yo, PRIVMSG
2021-11-08 20:32:37.207160, rainbow6, fancy_pixel, yes @nuBstyles, PRIVMSG
2021-11-08 20:32:38.781339, rainbow6, tjvenier, !predict, PRIVMSG
2021-11-08 20:32:39.114284, rainbow6, sunsetcat2, faze warming up for the playoffs, PRIVMSG
2021-11-08 20:32:39.563226, rainbow6, jean10us, @nuBstyles yes, PRIVMSG
2021-11-08 20:32:42.428323, rainbow6, le_vxy, @t0nexx are u sure about that?, PRIVMSG
2021-11-08 20:32:43.656163, rainbow6, dj_arbz, ! drops, PRIVMSG
2021-11-08 20:32:44.075532, rainbow6, dom4443, mute threw, PRIVMSG
2021-11-08 20:32:44.272503, rainbow6, shinoa_hiragi___, FazeUp, PRIVMSG
2021-11-08 20:32:46.114050, rainbow6, fergonamir6, Faze are gonna win the whole thing, PRIVMSG
2021-11-08 20:32:49.185478, rainbow6, breathe_bot, Lets Go CHiefs, PRIVMSG
2021-11-08 20:32:50.717846, rainbow6, ricokk69, That mute, PRIVMSG
2021-11-08 20:35:29.180038, rainbow6, ht9ar, @abemke APAC South. Specifically ANZ, PRIVMSG
2021-11-08 20:35:29.963485, rainbow6, msen2, @nissanagi but who asked?, PRIVMSG
2021-11-08 20:35:32.507739, rainbow6, spartanward105330, @traptreeshy wowmoxLUL, PRIVMSG
2021-11-08 20:35:35.377451, rainbow6, mustafa112343, everyone using glacier or gold dust lol, PRIVMSG
2021-11-08 20:35:35.569135, rainbow6, raynaes, i cant watching, PRIVMSG
2021-11-08 20:35:36.190852, rainbow6, bandigo, @masterryooda if it aint stickin, swap em out, PRIVMSG
2021-11-08 20:35:45.603565, rainbow6, tjvenier, bro, PRIVMSG
2021-11-08 20:35:49.287528, rainbow6, agtsr6, @masterryooda Except Astro, cameraman was on mibr, PRIVMSG
2021-11-08 20:35:50.311134, rainbow6, zachyfps, LETS GO CHEIFS 🦘LETS GO CHEIFS 🦘LETS GO CHEIFS 🦘LETS GO CHEIFS 🦘LETS GO CHEIFS 🦘LETS GO CHEIFS 🦘LETS GO CHEIFS 🦘LETS GO CHEIFS 🦘LETS GO CHEIFS 🦘LETS GO CHEIFS 🦘LETS GO CHEIFS 🦘LETS GO CHEIFS 🦘LETS GO CHEIFS 🦘LETS GO CHEIFS 🦘LETS GO CHEIFS 🦘LETS GO CHEIFS 🦘LETS GO CHEIFS 🦘LETS GO CHEIFS 🦘LETS GO CHEIFS 🦘LETS GO CHEIFS 🦘, PRIVMSG
2021-11-08 20:35:54.453040, rainbow6, chickendipperlad_cj, RyuChamp, PRIVMSG
2021-11-08 20:35:54.667162, rainbow6, moobot, Excessive use of symbols, emotes, accented languages, and special characters will result in a short TO by our bot, apologies., PRIVMSG
2021-11-08 20:35:57.885184, rainbow6, czrpando, lol, PRIVMSG
2021-11-08 20:35:58.294732, rainbow6, tg_matt0, @tsun4m1_g4ming Hello bozo tsun4m1Potato, PRIVMSG
2021-11-08 20:36:30.888508, rainbow6, hippopotamy, LETS GO CHEIFS 🦘LETS GO CHEIFS 🦘LETS GO CHEIFS 🦘LETS GO CHEIFS 🦘LETS GO CHEIFS 🦘LETS GO CHEIFS 🦘LETS GO CHEIFS 🦘LETS GO CHEIFS 🦘LETS GO CHEIFS 🦘LETS GO CHEIFS 🦘LETS GO CHEIFS 🦘LETS GO CHEIFS 🦘LETS GO CHEIFS 🦘LETS GO CHEIFS 🦘LETS GO CHEIFS 🦘LETS GO CHEIFS 🦘LETS GO CHEIFS 🦘LETS GO CHEIFS 🦘LETS GO CHEIFS 🦘LETS GO CHEIFS, PRIVMSG
2021-11-08 20:36:34.110184, rainbow6, anthony_ortiz_, EntropyWins, PRIVMSG
2021-11-08 20:36:34.308027, rainbow6, farmer__gerald, csgo line ups?, PRIVMSG
2021-11-08 20:36:34.308066, rainbow6, shigganori, omg its loomy123, PRIVMSG
2021-11-08 20:36:34.493700, rainbow6, rohaldbeast, LUL, PRIVMSG
2021-11-08 20:36:35.748024, rainbow6, campeaodalan, wow, PRIVMSG
2021-11-08 20:36:36.468077, rainbow6, zachyfps, @rryturtle hey thats not nice :<, PRIVMSG
2021-11-08 20:36:36.872290, rainbow6, yourdailydeliveryman, You lot I just claimed my free drop from esports shop!, PRIVMSG
2021-11-08 20:36:38.182771, rainbow6, akasvampen, really pog lineup, PRIVMSG
2021-11-08 20:36:41.036584, rainbow6, gtacod_5, 🥶🍦BING CHILLING🥶🍦BING CHILLING🥶🍦BING CHILLING🥶🍦BING CHILLING🥶🍦BING CHILLING🥶🍦BING CHILLING🥶🍦BING CHILLING🥶🍦BING CHILLING🥶🍦BING CHILLING🥶🍦BING CHILLING🥶🍦BING CHILLING🥶🍦BING CHILLING🥶🍦BING CHILLING🥶🍦BING CHILLING🥶🍦BING CHILLING, PRIVMSG
2021-11-08 20:36:41.302705, rainbow6, pieguy___, that was a Valorant lineup, PRIVMSG
2021-11-08 20:36:41.787392, rainbow6, pedroala000, POG CAPITAO, PRIVMSG
2021-11-08 20:36:42.398375, rainbow6, karlbertil44, THE FAZE FIRE PogU, PRIVMSG
2021-11-08 20:36:42.592102, rainbow6, ultramad, Sick plays, PRIVMSG
2021-11-08 20:36:44.156589, rainbow6, znezziez, @TrapTreeshy even a low gold can probably coach an amount of strats, assuming they aren't there based purely on aim. I've been coached a lot by a Plat 2 and it's gotten me out of bronze which I am thankful for, PRIVMSG
2021-11-08 20:36:45.365657, rainbow6, deeeeznuts69com, NAVI, PRIVMSG
2021-11-08 20:36:46.198974, rainbow6, whoisretnuh, SO BAD KEKW, PRIVMSG
2021-11-08 20:36:47.891389, rainbow6, rowniiii, worthy NZ rep, PRIVMSG
2021-11-08 20:36:50.004396, rainbow6, shigganori, @LoomyOCE i love u <33, PRIVMSG
2021-11-08 20:36:52.017523, rainbow6, spartanward105330, Pretty sure both teams are not using strats or atleast they aren’t try harding using their best strats. I’m postive playing Tachanka can turn this game around for the losing team. Some teams just don’t use their strats. Anyways if you want some coaching PM im at a high elo gold 3., PRIVMSG
2021-11-08 20:36:52.529439, rainbow6, sinaebrh9090, claymore LUL, PRIVMSG
2021-11-08 20:36:53.052695, rainbow6, kevkxv_, feel bad for ethan lmao, PRIVMSG
2021-11-08 20:36:53.250331, rainbow6, zachyfps, ANZ SUPREMACY, PRIVMSG
2021-11-08 20:36:53.250370, rainbow6, raii904, Sova shock dart, PRIVMSG
2021-11-08 20:36:57.567455, rainbow6, mainstaymist, Bing cilling, PRIVMSG
2021-11-08 20:36:57.782295, rainbow6, moobot, As this broadcast is in English, please converse in English in the chat., PRIVMSG
2021-11-08 20:36:59.495593, rainbow6, macedonia38, uauauauaua, PRIVMSG
2021-11-08 20:37:00.408940, rainbow6, raii904, what a line up, PRIVMSG
2021-11-08 20:37:03.478681, rainbow6, wetpantsfps, 🥶🍦BING CHILLING🥶🍦BING CHILLING🥶🍦BING CHILLING🥶🍦BING CHILLING🥶🍦BING CHILLING🥶🍦BING CHILLING🥶🍦BING CHILLING🥶🍦BING CHILLING🥶🍦BING CHILLING🥶🍦BING CHILLING🥶🍦BING CHILLING🥶🍦BING CHILLING🥶🍦BING CHILLING🥶🍦BING CHILLING🥶🍦BING CHILLING, PRIVMSG
2021-11-08 20:37:03.829498, rainbow6, sunsetcat2, apac so bad, PRIVMSG
2021-11-08 20:37:04.919160, rainbow6, j3rmx007, Honestly ye i miss goin into kix streams, PRIVMSG
